"","kba","domestic_timber"
"1013",3286,0.547962744690572
"1014",3287,0
"1015",3288,0.0224813148052037
"1016",3289,0
"1017",3290,0
"1018",3291,0
"1019",3292,0
"1020",3293,0
"1021",3294,0
"1022",3297,0
"1023",3298,0
"1024",3299,0
"1025",3300,0
"1026",3301,0
"1027",3302,0
"1028",3303,0
"1029",3304,0
"1030",3305,0
"1031",3307,0
"1032",3311,0
"1033",3312,0
"1034",3315,0
"1035",3316,0
"1036",3317,0
"1037",3318,0
"1038",3319,0
"1039",3320,0
"1040",3321,0
"1041",3323,0
"1042",3324,0
"1043",3325,0
"1044",3326,0
"1045",3327,0
"1046",3328,0
"1047",3329,0
"1048",3330,0
"1049",3331,0
"1050",3332,0
"1051",3333,0
"1052",3334,0
"1053",3335,0
"1054",3336,0
"1055",3337,0
"1056",3338,0
"1057",3404,0
"1058",3340,0
"1059",3341,0
"1060",3342,0
"1061",3343,0
"1062",3345,0
"1063",3346,0
"1064",3347,0
"1065",3349,0
"1066",3350,0
"1067",3351,0
"1068",3352,0
"1069",3353,0
"1070",3355,0
"1071",3358,0
"1072",3359,0
"1073",3360,0
"1074",3361,0.0217790925987703
"1075",3362,0
"1076",3363,0
"1077",3364,0
"1078",3365,0
"1079",3366,0
"1080",3367,0
"1081",3368,0
"1082",3369,0
"1083",3370,0
"1084",3371,0
"1085",3372,0
"1086",3373,0
"1087",3374,0
"1088",3376,0
"1089",3379,0
"1090",3380,0
"1091",3381,0
"1092",3382,0
"1093",3383,0
"1094",3384,0
"1095",3386,0
"1096",3387,0
"1097",3388,0
"1098",3389,0
"1099",3390,0
"1100",3391,0
"1101",3392,0
"1102",3393,0
"1103",3394,0
"1104",3395,0
"1105",3396,0
"1106",3397,0
"1107",3400,0
"1108",3401,0
"1109",3402,0
"1110",3403,0
"1111",3405,0
"1112",3406,0
"1113",3407,0
"1114",3408,0
"1115",3409,0
"1116",3410,0
"1117",3411,0
"1118",3412,0
"1119",3413,0
"1120",3415,0
"1121",3416,0
"1122",3418,0
"1123",3419,0
"1124",3420,0
"1125",3421,0
"1126",3422,0
"1127",3423,0
"1128",3424,0
"1129",3425,0
"1130",3426,0
"1131",3427,0
"1132",3428,0
"1133",3429,0
"1134",3430,0
"1135",3431,0
"1136",3432,0
"1137",3433,0
"1138",3434,0
"1139",3435,0
"1140",3436,0
"1141",3438,0
"1142",3440,0
