"","kba","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","nature_access_rural_6hr","nature_access_rural_1hr","nature_access_urban_6hr","nature_access_urban_1hr","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"117",276,0,897.166862487793,1174.98898553848,897.166862487793,4.78550357664392,0,21389.1358995897,14160.4306985115,0.345387244211005,0.190399719052948,0.290183802674269,111.620064258575,48.3475561769255,2227071.61941528,1464738.07003784,11630393.78125,508906.979553223,4738401.5625,0,0.00926502450869926,0,80.3029657248408,53.3497605687007,3122
"118",18564,0,840.537268638611,2246.17822469026,840.537268638611,0.557842554367561,0,0,0,0.0479449583167425,0.106834702892229,0.0120595578227361,703.502733707428,0,8301.14624786377,8219.15154266357,1816540.59033203,166034.597991943,758144.25,0,0.0216227673663525,0,0.158776253461838,0.15674352645874,1020
"119",278,0,0,0,0,18.3043986197049,0,74483.8071480092,39199.7271344557,0.272265837018,2.46859153639525,1.05407721252709,74.5485363006592,1160.72372943588,29748193.890625,15153841.921875,48689151.78125,159521.899534225,21098750.2749023,0,0.0112258257815387,0,32251.9652785659,16870.3559202778,13001
"120",282,0,189.755475997925,179.574979275465,189.755475997925,0.0131286556517077,0.0241143849712011,0,0,0.0163745216018691,0,0.0442885437680313,31.730541229248,0,120.834922790527,119.867721557617,26628.912109375,14461.6787109375,0,0,0.000573118675674777,0,0,0,234
"121",283,0,11.3337078094482,42.3693034499884,11.3337078094482,0.26533809210019,0.00404465274739226,0,0,0.025876803019166,0,0.0433973049654189,31.730541229248,0,158.17474937439,157.218605041504,106515.6484375,11707.7138671875,0,0,0.00799006485613063,0,0.0126200378144858,0.0124151444906602,222
"122",286,0,46.5943975448608,74.9761126637459,46.5943975448608,0.215510755777359,0,0,0,0.0157220717519522,0,0,35.6890532970428,0,165.676163673401,163.682294368744,213031.296875,16383.8629150391,0,0,0.00148246518801898,0,0,0,165
"123",287,0,26.5852956771851,55.5975933074951,26.5852956771851,0.0575519670977056,0.00760541550682757,0,0,0.00678646071956576,0,0,12.977837562561,0,163.494522094727,162.215637207031,26628.912109375,2087.07861328125,0,0,0.00175822747405618,0,0,0,157
"124",288,0,18.5475196838379,44.6278762817383,18.5475196838379,0.121304090205679,0,0,0,0.00298444898757817,0,0,13.7073084115982,0,489.990585327148,486.153167724609,106515.6484375,7854.38238525391,0,0,0.000199968941160478,0,0,0,166
"125",289,0,0,3.19985198974609,0,0,0.0142874397156596,0,0,0.00556544193189401,0,0,30.6496875286102,0,393.300170898438,388.201675415039,319546.9453125,29269.5118408203,0,0,0,0,0,0,133
"126",290,0,66.7403497695923,46.030134384893,66.7403497695923,0.433476847422237,0,0,0,0.0059026086388988,0,0,45.5195761919022,0,695.119003295898,680.444869995117,346175.857421875,12177.7144165039,0,0,6.47521397922901e-05,0,0,0,333
"127",292,0,0,0,0,2.56390439260586,0,300.77906465718,136.037442927534,0.086941006576092,0.103901522234082,0.120449031445858,0,0,1466810.578125,839538.908203125,8601424.9375,193955.011657715,4317725.8125,0,0.0518526958230723,0,82.899239464663,41.3664549319074,2696
"128",293,0,0,0,0,5.54488267215622,0,17045.8576144473,9558.58922706872,0.12959437610191,8.70316232356708,0,63.8315873146057,0,5514940.4375,3078837.0078125,5936072.8671875,7872.76714324951,4142532.1796875,0,0.002202324286813,0,15891.1806725152,8680.36992897838,5577
"129",294,0,0,0,0,16.9931147282306,0,66471.5240023813,32588.9083458346,0.545192869528296,11.0654520685785,1.11248055474665,0,632.412633221456,91751064,45636941.125,37160137.375,310496.510843277,13049668.4609375,149486.078125,4.79558832576142,0,69074.2848696122,35227.3653346407,15231
"130",295,0,0,0,0,0.111439587908505,0,212.52415272425,42.5994937385865,0.018442310738368,0.0123305395245552,0.00234277461784338,0,6.01103546453019,644712.125,130399.4375,390585.9375,5539.30224609375,156236.65625,0,0.0145756667479873,0,28.3996505737305,5.8044867515564,76
"131",297,0,0,0,0,1.27875124334428,0,1587.99817045007,207.391465439505,0.0671992957833698,0.040077930316329,0,0,36.0662127871811,1108941.703125,146135.509765625,1275189.125,88189.2211914062,707020.1953125,0,0.00457800605181546,0,448.92344725132,62.2104677595198,781
"132",298,0,0,0,0,0.943109867596573,0,1503.94644823685,209.450507861763,0.124277207454382,0.25815107463859,0.177005981836262,0,36.0662127871811,1210710.234375,162736.900390625,1116775.40625,29304.4760437012,601945.2265625,0,0.438212633598596,0,22.349198371172,3.14791497588158,855
"133",299,0,0,0,0,0.909405732035702,0,874.585432514578,182.340839586631,0.0579215241262593,0.12018003500998,0.00611259391995577,0,24.0441418581207,3221293.4375,643226.84375,1148197.40625,13019.9063720703,340748.3671875,0,0.101910510100424,0,5236.90863037109,1019.2642250061,316
"134",300,0,0,0,0,0.150550034486164,0,287.555989038107,89.6123686242207,0.0885766141580822,0.957384318113327,0.0641711205244064,0,12.0220709290604,1279234.1875,392475.890625,412430.875,56381.13671875,156236.65625,113582.78125,3.79922187328339,0,5116.65032958984,1397.36913108826,286
