"","country","country_id","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_nathab","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","rural_nature_access_360","rural_nature_access_60","urban_nature_access_360","urban_nature_access_60","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"54","Comoros","COM",0,1341805.10100487,725974.68365563,0,0,0,0,0,0,0,0,0,5.98773908615112,0,0,0,0,0,0,0,0,208,0,0,0
"55","Cabo Verde","CPV",0,890057.142003684,120603.204152428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Costa Rica","CRI",0,610726.93969269,236292.281607648,371411.949608995,2308.59851355807,288.577610664521,25994722.2902101,2656086.78586143,1474072.28299236,932.230474709083,166.455879085697,70.1946508281455,25.0936578214169,2509.85469287279,6705039286.69766,4065883436.81552,1296430.04156301,1173729.00590894,1716948.41262951,1383954.33342963,23093.5307718642,628,336516590.467224,222484897.246911,867875
"57","Cuba","CUB",0,3823275.98337238,2339248.88450866,940134.199524614,4748.76512392128,41.936911169136,38068840.6706857,1803659.98671607,1158140.0076791,1957.0673320719,292.419839638867,2262.94070211935,10.0251706875861,3826.46183993983,5883843136.44692,4269973285.30136,2227508.75432784,1767336.58791546,1938861.8136147,1221019.17142114,46330.668665726,2147,163795498.136412,116497527.095682,1063934
"58","Curaçao","CUW",0,251185.833444884,146108.596210122,104153.346844008,0.00219928579970518,0,0,0,0,0,0,4.85511953967121,0.0335937403142452,0,10633363.1856326,10291956.6710271,16682.9382324219,16750.0371894836,92278.251953125,91213.6954097748,0,512,0,0,2859
"59","Christmas Island","CXR",0,5679.94589424312,652.276303529739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Cayman Islands","CYM",0,147017.743805557,64871.1984285397,53731.0078186989,0,1.77991085918341,0,0,0,0.123072153372998,0,0,0.0477890409529209,0,1258858.79388428,1221808.3885498,25736.2027511597,24228.7616823316,0,0,0,426,0,0,8517
"61","Cyprus","CYP",0,51496.2643106764,1260.74763906002,11054.4423169494,111.535690564738,0,130594.121744933,19060.6890633635,8656.28249962379,19.8990717943869,2.14449361537118,192.769446347764,0.689940452575684,0,330083120.368317,254962524.455048,212715.266784668,176340.095715046,159762.897537231,175960.418658018,181.780923623509,0,2996334.04364669,2217834.70990181,27850
"62","Czechia","CZE",0,0,0,0,826.771876322196,3.20438526123103,224659760.472752,18547550.3912519,1767538.11894595,245.999648285353,444.213887595804,498.725458407973,0,134828.695077901,352164436113.625,41517158050.4688,3203279.72436523,2962654.43569338,1406582.70970917,971524.238081162,15368.132836131,0,1989815844.79192,266019867.38895,849827
"63","Germany","DEU",0,1266749.15890982,282671.474484574,535874.33899872,2560.11033988848,1.60487269082731,1911069695.77284,104592675.659698,19181231.1618572,1655.46957939349,1565.91474544525,6930.67310191494,472.4084379673,480059.938635847,916606773014.682,168910876683.789,22694365.5041962,21302496.1149039,14527139.259234,11704661.5547831,28318.7991700054,0,9301009979.0218,1712987242.89186,4364166
